City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Carutapera,BR,77.72,overcast clouds,-1.195,-46.02,Lidera
3,Faanui,PF,82.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Rikitea,PF,79.41,clear sky,-23.1203,-134.9692,Pension Maro'i
6,Georgetown,MY,80.01,light rain,5.4112,100.3354,Cititel Penang
9,Tondano,ID,77.0,moderate rain,1.3038,124.9112,Villa Bella
21,Samastipur,IN,75.13,clear sky,25.85,85.7833,Hotel Madanlok
26,Aquiraz,BR,86.0,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
27,Sayla,IN,80.29,scattered clouds,22.55,71.4667,Bell Guest House
28,Atuona,PF,81.05,overcast clouds,-9.8,-139.0333,Villa Enata
39,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
40,Campoverde,PE,89.6,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
45,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
49,Atar,MR,81.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
54,Cabo San Lucas,MX,84.2,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
59,Inirida,CO,75.6,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
61,Wahiawa,US,77.0,clear sky,21.5028,-158.0236,Aloha Wahiawa
62,Vila Velha,BR,82.4,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
64,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
65,Hithadhoo,MV,80.04,heavy intensity rain,-0.6,73.0833,Scoop Guest House
71,Bhatkal,IN,80.4,overcast clouds,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
72,Lazaro Cardenas,MX,83.03,clear sky,17.9583,-102.2,Hotel Quinta Antigua
73,Bosaso,SO,78.31,clear sky,11.2842,49.1816,Red Sea Hotel
76,Cap Malheureux,MU,77.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
77,Kang,BW,75.18,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
81,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
82,Kavaratti,IN,83.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
84,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
89,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
90,Taoudenni,ML,83.68,overcast clouds,22.6783,-3.9836,
93,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
94,Axim,GH,79.52,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
95,Sao Joao Da Barra,BR,86.0,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
98,Ondjiva,AO,75.34,overcast clouds,-17.0667,15.7333,SOS Motel
99,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Bouillante,GP,78.8,broken clouds,16.1304,-61.7692,Gîtes Dardanelle
102,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
103,Arraial Do Cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
110,Kapaa,US,75.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
111,Lompoc,US,75.99,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
112,Poum,NC,79.65,clear sky,-20.2333,164.0167,Gîte kajeon
113,Venice,US,89.01,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
116,Mumford,GH,80.44,overcast clouds,5.2618,-0.759,Spanish Villa
121,Domoni,KM,80.74,broken clouds,-12.2569,44.5319,Al Djadid
126,Kirakira,SB,81.43,broken clouds,-10.4544,161.9205,SanBiz Lodge
128,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
130,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
144,Samarai,PG,82.33,overcast clouds,-10.6167,150.6667,Nuli Sapi
155,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
160,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
165,Wukari,NG,86.74,scattered clouds,7.85,9.7833,Elimtop
170,Riberalta,BO,89.6,broken clouds,-10.9833,-66.1,Hotel Colonial
171,Marapanim,BR,77.29,overcast clouds,-0.7175,-47.6997,Ecomangue Pousada
172,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
173,Coihueco,CL,80.6,clear sky,-36.6167,-71.8333,Frutillares Coihueco
175,Hollister,US,82.99,clear sky,36.8525,-121.4016,Hollister Inn
177,Sasaram,IN,76.41,clear sky,24.951,84.0149,Circuit House
178,Bengkulu,ID,76.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
181,Les Cayes,HT,82.18,clear sky,18.2,-73.75,Villa Orphee
182,Itarema,BR,77.95,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
184,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
185,Pemangkat,ID,77.49,moderate rain,1.1667,108.9667,Kost H.Syamsuddin
189,Pitiquito,MX,84.99,clear sky,30.7,-112.0833,California Plaza
191,Havelock,US,75.0,overcast clouds,34.8791,-76.9013,Sherwood Motel
192,Kismayo,SO,80.35,overcast clouds,-0.3582,42.5454,Agan-Hotel
193,Veraval,IN,77.41,clear sky,20.9,70.3667,Lords Inn Somnath
194,Victoria,HK,75.99,clear sky,22.2855,114.1577,Mini Hotel Central
195,Santa Maria,BR,80.6,scattered clouds,-29.6842,-53.8069,Hotel Morotin
196,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
200,Biu,NG,76.68,clear sky,10.6129,12.1946,Emir's Palace
205,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
206,Sulangan,PH,81.3,overcast clouds,11.1373,123.7228,Maia's Beach Resort
207,Saravena,CO,85.06,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
208,Tandur,IN,81.23,clear sky,17.2333,77.5833,SPOT ON 63149 Swagath Residency
211,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
212,Lake Havasu City,US,81.0,clear sky,34.4839,-114.3224,Heat Hotel
213,Reo,BF,86.61,clear sky,12.3167,-2.4667,Hôtel Deogratias
216,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
217,Dingle,PH,75.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
218,Rafai,CF,76.68,scattered clouds,4.95,23.9167,
219,Tamandare,BR,78.94,heavy intensity rain,-8.7597,-35.1047,Pousada 100 Passos
221,Calabar,NG,79.83,clear sky,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
223,Jose De Freitas,BR,86.0,few clouds,-4.7564,-42.5756,Sitio Soares
225,Cajaruro,PE,84.11,light rain,-5.7364,-78.4256,Hotel Kuelap
227,Bandarbeyla,SO,78.08,few clouds,9.4942,50.8122,JABIR HOTEL
228,Adrar,MR,84.0,overcast clouds,20.5022,-10.0711,
229,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
239,Guerrero Negro,MX,83.08,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
242,Arauca,CO,87.98,broken clouds,7.0847,-70.7591,Hotel Verano Plaza
243,Sur,OM,83.25,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
249,Marsh Harbour,BS,77.92,few clouds,26.5412,-77.0636,Abaco Beach Resort
251,Binga,ZW,75.02,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
254,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
259,Bull Savanna,JM,80.44,clear sky,17.8868,-77.5902,Big Red's
261,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
263,Bodden Town,KY,87.8,scattered clouds,19.2833,-81.25,Will T Place
267,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
269,Sinnamary,GF,78.94,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
271,Yenangyaung,MM,83.8,overcast clouds,20.4667,94.8833,Hotel Country
272,Bara,NG,82.29,clear sky,10.3744,10.7288,
273,Dhidhdhoo,MV,84.13,overcast clouds,6.8833,73.1,Dhidhoo beach
275,Biak,ID,75.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
276,San Policarpo,PH,79.72,overcast clouds,12.1791,125.5072,JM Lodge
280,Pital,CO,79.18,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
281,Muisne,EC,86.0,light rain,0.6,-80.0333,Quinta Samay
286,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
287,Kilindoni,TZ,82.94,overcast clouds,-7.9139,39.6668,Bustani B&B
289,Karwar,IN,81.12,overcast clouds,14.8,74.1333,Netalco Connects
291,Mahibadhoo,MV,82.51,overcast clouds,3.7833,72.9667,Omadhoo Inn
292,Basco,PH,78.57,clear sky,20.4487,121.9702,Nathaniel's Lodge
294,Pundaguitan,PH,80.82,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
297,Puerto Ayacucho,VE,81.72,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
306,Kieta,PG,79.66,light rain,-6.2167,155.6333,Uruna Bay Retreat
307,Kavieng,PG,83.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
309,Perbaungan,ID,77.0,moderate rain,3.5679,98.956,Bendang Lama
310,Isangel,VU,80.2,clear sky,-19.55,169.2667,Volcano Sea View Tree House
315,Hambantota,LK,77.02,overcast clouds,6.1241,81.1185,Bungalow 63
318,Lorengau,PG,82.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
322,Ambilobe,MG,75.49,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
326,Ban Dung,TH,84.99,overcast clouds,17.699,103.2596,Heuan Na Khee
330,Bo Rai,TH,82.99,broken clouds,12.5728,102.5371,Baiboon Resort
337,Kipini,KE,82.4,clear sky,-2.5257,40.5262,Delta Sea Mall
340,Caravelas,BR,78.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
342,Karmala,IN,83.19,scattered clouds,18.4167,75.2,Hotel Ashutosh And Lodge
345,Morondava,MG,77.52,clear sky,-20.2833,44.2833,La Case Bambou
350,Gizo,SB,83.17,scattered clouds,-8.103,156.8419,Imagination Island
369,Trinidad,BO,77.0,broken clouds,-14.8333,-64.9,Hotel Piesta
370,Santiago,CL,82.99,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
