,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ostrovnoy,RU,68.0531,39.5131,35.29,98,100,13.49,overcast clouds
1,Thompson,CA,55.7435,-97.8558,28.4,43,75,6.91,broken clouds
2,Vaini,TO,-21.2,-175.2,78.8,89,75,9.22,light rain
3,Saint George,US,37.1041,-113.5841,70.0,27,1,3.44,clear sky
4,Hithadhoo,MV,-0.6,73.0833,80.15,83,100,30.65,heavy intensity rain
5,Fairbanks,US,64.8378,-147.7164,10.0,66,1,5.75,clear sky
6,Airai,TL,-8.9266,125.4092,60.28,95,100,2.35,overcast clouds
7,Syracuse,IT,37.0881,15.2792,59.0,82,0,9.22,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,55.4,41,0,16.11,clear sky
9,Grand Gaube,MU,-20.0064,57.6608,78.01,79,1,2.24,clear sky
10,Albany,US,42.6001,-73.9662,52.0,88,100,9.06,light rain
11,Mitsamiouli,KM,-11.3847,43.2844,83.21,70,47,5.06,scattered clouds
12,Mao,ES,39.8885,4.2658,53.6,87,0,8.05,clear sky
13,Faya,SA,18.3851,42.4509,64.4,72,0,1.45,clear sky
14,Kargasok,RU,59.0556,80.8572,20.41,94,100,8.99,overcast clouds
15,Butaritari,KI,3.0707,172.7902,81.46,74,74,12.82,broken clouds
16,Bluff,NZ,-46.6,168.3333,53.01,98,96,7.81,overcast clouds
17,Barrow,US,71.2906,-156.7887,-25.6,68,20,10.36,few clouds
18,Ushuaia,AR,-54.8,-68.3,46.4,61,40,25.32,scattered clouds
19,New Norfolk,AU,-42.7826,147.0587,52.0,61,67,1.99,broken clouds
20,Dryden,CA,49.7833,-92.7503,33.8,34,40,9.22,scattered clouds
21,Akyab,MM,20.15,92.9,78.69,75,81,6.26,broken clouds
22,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,74,20,9.22,few clouds
23,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,20,10.36,few clouds
24,Pacific Grove,US,36.6177,-121.9166,60.8,59,1,5.75,clear sky
25,Lavrentiya,RU,65.5833,-171.0,9.19,94,100,20.04,snow
26,Nuuk,GL,64.1835,-51.7216,10.4,72,20,12.66,few clouds
27,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,13.8,clear sky
28,Nome,US,64.5011,-165.4064,12.99,85,90,31.07,snow
29,Neijiang,CN,29.5835,105.0622,64.31,52,1,6.78,clear sky
30,Oudtshoorn,ZA,-33.5907,22.2014,59.0,94,0,6.91,clear sky
31,Port Alfred,ZA,-33.5906,26.891,65.84,73,100,19.24,overcast clouds
32,San Vicente,AR,-26.6167,-54.1333,71.47,83,97,3.09,overcast clouds
33,Aginskoye,RU,51.1,114.53,20.55,77,2,6.4,clear sky
34,Chokurdakh,RU,70.6333,147.9167,-16.42,100,98,4.68,overcast clouds
35,Busselton,AU,-33.65,115.3333,55.0,94,0,6.6,clear sky
36,Chicama,PE,-7.8447,-79.1469,73.4,78,0,10.36,clear sky
