City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-03-24 20:06:20,-23.1203,-134.9692,79.59,66,0,12.48
1,Qaanaaq,GL,2021-03-24 20:09:03,77.484,-69.3632,-18.67,65,20,4.74
2,Nikolskoye,RU,2021-03-24 20:09:03,59.7035,30.7861,37.99,81,90,8.95
3,Mataura,NZ,2021-03-24 20:09:04,-46.1927,168.8643,46.99,97,17,2.21
4,Lasa,IT,2021-03-24 20:04:53,46.6166,10.7002,53.6,35,0,3.44
5,Butaritari,KI,2021-03-24 20:09:04,3.0707,172.7902,81.54,80,22,18.81
6,La Ronge,CA,2021-03-24 20:09:04,55.1001,-105.2842,23.0,58,100,14.97
7,Antigonish,CA,2021-03-24 20:09:04,45.6169,-61.9986,62.6,36,57,5.75
8,Ponta Do Sol,PT,2021-03-24 20:09:05,32.6667,-17.1,60.01,66,100,1.99
9,Kamaishi,JP,2021-03-24 20:09:05,39.2667,141.8833,48.07,90,100,5.59
10,Busselton,AU,2021-03-24 20:09:05,-33.65,115.3333,46.99,95,0,7.14
11,Spornoye,RU,2021-03-24 20:09:05,50.8448,37.2913,32.0,69,0,11.18
12,Atuona,PF,2021-03-24 20:08:51,-9.8,-139.0333,80.17,77,100,18.52
13,Burnie,AU,2021-03-24 20:09:06,-41.0667,145.9167,59.0,80,100,11.01
14,Vaini,TO,2021-03-24 20:09:06,-21.2,-175.2,77.0,94,75,11.5
15,Jingdezhen,CN,2021-03-24 20:09:07,29.2947,117.2079,50.97,84,0,3.53
16,Asau,RO,2021-03-24 20:04:56,46.4333,26.4,33.01,56,100,9.1
17,Severo-Kurilsk,RU,2021-03-24 20:09:07,50.6789,156.125,23.92,64,83,17.31
18,Port Elizabeth,ZA,2021-03-24 20:05:02,-33.918,25.5701,69.8,78,75,11.5
19,Tadine,NC,2021-03-24 20:06:12,-21.55,167.8833,75.79,71,62,9.55
20,Caravelas,BR,2021-03-24 20:09:08,-17.7125,-39.2481,80.76,67,0,7.31
21,Bengkulu,ID,2021-03-24 20:09:08,-3.8004,102.2655,76.6,84,100,3.09
22,Jauja,PE,2021-03-24 20:09:08,-11.7758,-75.4966,58.5,58,90,5.01
23,Bredasdorp,ZA,2021-03-24 20:09:08,-34.5322,20.0403,64.4,88,100,10.36
24,Barsovo,RU,2021-03-24 20:09:08,61.1667,73.1667,26.6,100,75,6.71
25,Saskylakh,RU,2021-03-24 20:09:09,71.9167,114.0833,-7.78,93,100,7.07
26,Sitka,US,2021-03-24 20:09:09,57.0531,-135.33,37.4,87,90,12.66
27,Avera,US,2021-03-24 20:09:09,33.194,-82.5271,73.4,64,90,5.75
28,Makakilo City,US,2021-03-24 20:09:09,21.3469,-158.0858,78.8,88,90,13.8
29,West Wendover,US,2021-03-24 20:09:10,40.7391,-114.0733,48.2,27,1,12.66
30,Bambous Virieux,MU,2021-03-24 20:09:10,-20.3428,57.7575,78.01,94,20,4.61
31,Saint George,US,2021-03-24 20:09:10,37.1041,-113.5841,57.2,23,1,5.75
32,Ibra,OM,2021-03-24 20:09:10,22.6906,58.5334,71.01,55,0,2.21
33,New Norfolk,AU,2021-03-24 20:09:11,-42.7826,147.0587,61.0,87,100,4.38
34,Hobart,AU,2021-03-24 20:09:11,-42.8794,147.3294,61.0,100,75,8.05
